cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,psf_quality_flag,cell_role,exclusion_source
1,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[125,200)","[2,2.5)",186591,1,1,0.4463536458756943,1,baseline_fit,
2,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[125,200)","[2.5,3)",418034,1,1,1.0,1,baseline_fit,
3,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[125,200)","[3,3.25)",88759,1,1,0.21232483482204798,1,baseline_fit,
4,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[125,200)","[3.25,3.5)",42094,1,1,0.10069515876699024,1,baseline_fit,
5,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[125,200)","[3.5,3.75)",23611,1,0,0.05648105178047719,1,excluded,MC_prefit_selector
6,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[125,200)","[3.75,4.0)",16474,1,0,0.039408277795586005,1,excluded,MC_prefit_selector
7,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[125,200)","[4.0,4.25)",11008,1,0,0.02633278632838477,1,excluded,MC_prefit_selector
8,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[125,200)","[4.25,4.5)",7175,1,0,0.017163675681882335,1,excluded,MC_prefit_selector
9,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[125,200)","[4.5,4.75)",5325,1,0,0.012738198328365636,1,excluded,MC_prefit_selector
10,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[125,200)","[4.75,5.0)",4880,1,0,0.011673691613600807,1,excluded,MC_prefit_selector
11,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[125,200)","[5,6)",19089,1,0,0.04566374983852988,1,excluded,MC_prefit_selector
12,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[125,200)",>=6,157,0,0,0.0003755675375687145,0,excluded,MC_prefit_selector
13,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[200,300)","[2,2.5)",17965,1,0,0.07025097174319389,1,excluded,MC_prefit_selector
14,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[200,300)","[2.5,3)",255726,1,1,1.0,1,baseline_fit,
15,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[200,300)","[3,3.25)",122642,1,1,0.479583616839899,1,baseline_fit,
16,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[200,300)","[3.25,3.5)",55093,1,1,0.21543761682425722,1,baseline_fit,
17,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[200,300)","[3.5,3.75)",26172,1,1,0.10234391497149292,1,baseline_fit,
18,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[200,300)","[3.75,4.0)",16631,1,0,0.0650344509357672,1,excluded,MC_prefit_selector
19,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[200,300)","[4.0,4.25)",13247,1,0,0.051801537583194515,1,excluded,MC_prefit_selector
20,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[200,300)","[4.25,4.5)",10121,1,0,0.039577516560693866,1,excluded,MC_prefit_selector
21,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[200,300)","[4.5,4.75)",7811,1,0,0.030544410814700107,1,excluded,MC_prefit_selector
22,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[200,300)","[4.75,5.0)",6480,1,0,0.025339621313437036,1,excluded,MC_prefit_selector
23,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[200,300)","[5,6)",24254,1,0,0.0948436998975466,1,excluded,MC_prefit_selector
24,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[200,300)",>=6,203,0,0,0.0007938183837388454,0,excluded,MC_prefit_selector
25,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[300,500)","[2,2.5)",227,0,0,0.0014982904967460035,0,excluded,MC_prefit_selector
26,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[300,500)","[2.5,3)",80182,1,1,0.5292331656832072,1,baseline_fit,
27,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[300,500)","[3,3.25)",151506,1,1,1.0,1,baseline_fit,
28,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[300,500)","[3.25,3.5)",112141,1,1,0.7401753065885179,1,baseline_fit,
29,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[300,500)","[3.5,3.75)",46983,1,1,0.31010653043443825,1,baseline_fit,
30,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[300,500)","[3.75,4.0)",20906,1,1,0.13798793447124205,1,baseline_fit,
31,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[300,500)","[4.0,4.25)",13417,1,0,0.0885575488759521,1,excluded,MC_prefit_selector
32,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[300,500)","[4.25,4.5)",11186,1,0,0.07383205945639117,1,excluded,MC_prefit_selector
33,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[300,500)","[4.5,4.75)",10057,1,0,0.06638020936464563,1,excluded,MC_prefit_selector
34,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[300,500)","[4.75,5.0)",8426,1,0,0.05561495914353227,1,excluded,MC_prefit_selector
35,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[300,500)","[5,6)",34776,1,0,0.2295354639420221,1,excluded,MC_prefit_selector
36,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[300,500)",>=6,433,0,0,0.0028579726215463416,0,excluded,MC_prefit_selector
37,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[500,800)","[2,2.5)",0,0,0,0.0,0,excluded,MC_prefit_selector
38,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[500,800)","[2.5,3)",913,0,0,0.010199635807089474,0,excluded,MC_prefit_selector
39,0,v3_baseline,excluded by central99/MC-ridge/PSF/statistics/high-energy prefit rule,"[500,800)","[3,3.25)",27769,1,1,0.3102230960866019,0,excluded,MC_prefit_selector
40,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[500,800)","[3.25,3.5)",89513,1,1,1.0,1,baseline_fit,
41,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[500,800)","[3.5,3.75)",68604,1,1,0.7664138169874767,1,baseline_fit,
42,1,v3_baseline,central99 MC-occupancy-ridge PSF-quality prefit cell,"[500,800)","[3.75,4.0)",26703,1,1,0.2983142113436037,1,baseline_fit,
